Date,Home Team,Score,Away Team,Venue
2024-12-26,Nott'ham Forest,1–0,Tottenham,The City Ground
2024-12-26,Wolves,2–0,Manchester Utd,Molineux Stadium
2024-12-26,Liverpool,3–1,Leicester City,Anfield
2024-12-27,Brighton,0–0,Brentford,The American Express Stadium
2024-12-27,Arsenal,1–0,Ipswich Town,Emirates Stadium
,,,,
2024-12-29,Leicester City,0–2,Manchester City,King Power Stadium
2024-12-29,Tottenham,2–2,Wolves,Tottenham Hotspur Stadium
2024-12-29,Fulham,2–2,Bournemouth,Craven Cottage
2024-12-29,Everton,0–2,Nott'ham Forest,Goodison Park
2024-12-29,Crystal Palace,2–1,Southampton,Selhurst Park
2024-12-29,West Ham,0–5,Liverpool,London Stadium
2024-12-30,Aston Villa,2–2,Brighton,Villa Park
2024-12-30,Ipswich Town,2–0,Chelsea,Portman Road Stadium
2024-12-30,Manchester Utd,0–2,Newcastle Utd,Old Trafford
2025-01-01,Brentford,1–3,Arsenal,Gtech Community Stadium
,,,,
2025-01-04,Tottenham,1–2,Newcastle Utd,Tottenham Hotspur Stadium
2025-01-04,Southampton,0–5,Brentford,St Mary's Stadium
2025-01-04,Bournemouth,1–0,Everton,Vitality Stadium
2025-01-04,Crystal Palace,1–1,Chelsea,Selhurst Park
2025-01-04,Manchester City,4–1,West Ham,Etihad Stadium
2025-01-04,Aston Villa,2–1,Leicester City,Villa Park
2025-01-04,Brighton,1–1,Arsenal,The American Express Stadium
2025-01-05,Fulham,2–2,Ipswich Town,Craven Cottage
2025-01-05,Liverpool,2–2,Manchester Utd,Anfield
2025-01-06,Wolves,0–3,Nott'ham Forest,Molineux Stadium
,,,,
2025-01-14,Brentford,2–2,Manchester City,Gtech Community Stadium
2025-01-14,West Ham,3–2,Fulham,London Stadium
2025-01-14,Chelsea,2–2,Bournemouth,Stamford Bridge
2025-01-14,Nott'ham Forest,1–1,Liverpool,The City Ground
2025-01-15,Everton,0–1,Aston Villa,Goodison Park
2025-01-15,Newcastle Utd,3–0,Wolves,St James' Park
2025-01-15,Leicester City,0–2,Crystal Palace,King Power Stadium
2025-01-15,Arsenal,2–1,Tottenham,Emirates Stadium
2025-01-16,Ipswich Town,0–2,Brighton,Portman Road Stadium
2025-01-16,Manchester Utd,3–1,Southampton,Old Trafford
,,,,
2025-01-18,Newcastle Utd,1–4,Bournemouth,St James' Park
2025-01-18,West Ham,0–2,Crystal Palace,London Stadium
2025-01-18,Brentford,0–2,Liverpool,Gtech Community Stadium
2025-01-18,Leicester City,0–2,Fulham,King Power Stadium
2025-01-18,Arsenal,2–2,Aston Villa,Emirates Stadium
2025-01-19,Manchester Utd,1–3,Brighton,Old Trafford
2025-01-19,Nott'ham Forest,3–2,Southampton,The City Ground
2025-01-19,Everton,3–2,Tottenham,Goodison Park
2025-01-19,Ipswich Town,0–6,Manchester City,Portman Road Stadium
2025-01-20,Chelsea,3–1,Wolves,Stamford Bridge
,,,,
2025-01-25,Wolves,0–1,Arsenal,Molineux Stadium
2025-01-25,Southampton,1–3,Newcastle Utd,St Mary's Stadium
2025-01-25,Brighton,0–1,Everton,The American Express Stadium
2025-01-25,Liverpool,4–1,Ipswich Town,Anfield
2025-01-25,Bournemouth,5–0,Nott'ham Forest,Vitality Stadium
2025-01-25,Manchester City,3–1,Chelsea,Etihad Stadium
2025-01-26,Crystal Palace,1–2,Brentford,Selhurst Park
2025-01-26,Tottenham,1–2,Leicester City,Tottenham Hotspur Stadium
2025-01-26,Aston Villa,1–1,West Ham,Villa Park
2025-01-26,Fulham,0–1,Manchester Utd,Craven Cottage
,,,,
2025-02-01,Nott'ham Forest,7–0,Brighton,The City Ground
2025-02-01,Ipswich Town,1–2,Southampton,Portman Road Stadium
2025-02-01,Everton,4–0,Leicester City,Goodison Park
2025-02-01,Newcastle Utd,1–2,Fulham,St James' Park
2025-02-01,Bournemouth,0–2,Liverpool,Vitality Stadium
2025-02-01,Wolves,2–0,Aston Villa,Molineux Stadium
2025-02-02,Brentford,0–2,Tottenham,Gtech Community Stadium
2025-02-02,Manchester Utd,0–2,Crystal Palace,Old Trafford
2025-02-02,Arsenal,5–1,Manchester City,Emirates Stadium
2025-02-03,Chelsea,2–1,West Ham,Stamford Bridge
,,,,
2025-02-12,Everton,2–2,Liverpool,Goodison Park
,,,,
2025-02-14,Brighton,3–0,Chelsea,The American Express Stadium
2025-02-15,Leicester City,0–2,Arsenal,King Power Stadium
2025-02-15,Aston Villa,1–1,Ipswich Town,Villa Park
2025-02-15,Fulham,2–1,Nott'ham Forest,Craven Cottage
2025-02-15,West Ham,0–1,Brentford,London Stadium
2025-02-15,Manchester City,4–0,Newcastle Utd,Etihad Stadium
2025-02-15,Southampton,1–3,Bournemouth,St Mary's Stadium
2025-02-15,Crystal Palace,1–2,Everton,Selhurst Park
2025-02-16,Liverpool,2–1,Wolves,Anfield
2025-02-16,Tottenham,1–0,Manchester Utd,Tottenham Hotspur Stadium
,,,,
2025-02-19,Aston Villa,2–2,Liverpool,Villa Park
,,,,
2025-02-21,Leicester City,0–4,Brentford,King Power Stadium
2025-02-22,Everton,2–2,Manchester Utd,Goodison Park
2025-02-22,Fulham,0–2,Crystal Palace,Craven Cottage
2025-02-22,Ipswich Town,1–4,Tottenham,Portman Road Stadium
2025-02-22,Bournemouth,0–1,Wolves,Vitality Stadium
2025-02-22,Arsenal,0–1,West Ham,Emirates Stadium
2025-02-22,Southampton,0–4,Brighton,St Mary's Stadium
2025-02-22,Aston Villa,2–1,Chelsea,Villa Park
2025-02-23,Newcastle Utd,4–3,Nott'ham Forest,St James' Park
2025-02-23,Manchester City,0–2,Liverpool,Etihad Stadium
,,,,
2025-02-25,Crystal Palace,4–1,Aston Villa,Selhurst Park
2025-02-25,Wolves,1–2,Fulham,Molineux Stadium
2025-02-25,Brighton,2–1,Bournemouth,The American Express Stadium
2025-02-25,Chelsea,4–0,Southampton,Stamford Bridge
2025-02-26,Brentford,1–1,Everton,Gtech Community Stadium
2025-02-26,Tottenham,0–1,Manchester City,Tottenham Hotspur Stadium
2025-02-26,Manchester Utd,3–2,Ipswich Town,Old Trafford
2025-02-26,Nott'ham Forest,0–0,Arsenal,The City Ground
2025-02-26,Liverpool,2–0,Newcastle Utd,Anfield
2025-02-27,West Ham,,Leicester City,London Stadium
,,,,
2025-03-08,Nott'ham Forest,,Manchester City,The City Ground
2025-03-08,Liverpool,,Southampton,Anfield
2025-03-08,Crystal Palace,,Ipswich Town,Selhurst Park
2025-03-08,Brighton,,Fulham,The American Express Stadium
2025-03-08,Brentford,,Aston Villa,Gtech Community Stadium
2025-03-08,Wolves,,Everton,Molineux Stadium
2025-03-09,Chelsea,,Leicester City,Stamford Bridge
2025-03-09,Tottenham,,Bournemouth,Tottenham Hotspur Stadium
2025-03-09,Manchester Utd,,Arsenal,Old Trafford
2025-03-10,West Ham,,Newcastle Utd,London Stadium
,,,,
2025-03-15,Manchester City,,Brighton,Etihad Stadium
